word_english,frequency_kf,familiar_mean,familiar_sd,pronounce_mean,pronounce_sd
reconstruction,1,4.57,1.61,6.34,1.22
reference,8,5.1,1.49,6.43,1.07
regents,1,2.84,1.62,6.02,1.23
regulation,3,4.71,1.72,6.36,0.99
renewal,2,4.43,1.68,6.41,1.02
rentals,1,4.97,1.81,6.75,0.61
reports,7,5.33,1.37,6.64,0.87
reprisals,1,3.17,1.63,5.77,1.44
requirements,2,5.62,1.32,6.27,1.3
restriction,1,4.79,1.59,6.43,0.95
retarded,1,5.29,1.65,6.5,1.02
returns,2,4.97,1.53,6.7,0.67
rioting,1,3.95,1.81,6.52,0.9
rundown,2,4.34,1.82,6.66,0.71
sacrifice,2,4.83,1.72,6.52,0.82
salary,3,5.33,1.57,6.61,0.87
scoreboards,1,4.86,1.79,6.55,0.85
sea,1,4.98,1.65,6.98,0.15
section,1,5.72,1.25,6.66,0.71
sentiment,1,4.21,1.52,6.14,1.25
series,7,5.22,1.67,6.73,0.76
show,6,5.78,1.26,6.89,0.39
size,5,5.59,1.41,6.91,0.29
skies,1,5.53,1.45,6.77,0.6
sky,2,6.29,0.9,6.84,0.48
skyjackers,1,2.36,1.41,6.2,1.32
slugger,3,4.34,1.65,6.77,0.57
spirit,12,5.14,1.79,6.73,0.59
squad,2,4.64,1.64,6.75,0.61
stakes,1,4.36,1.72,6.8,0.51
stocks,8,4.79,1.78,6.84,0.43
streams,1,4.74,1.58,6.8,0.51
strokes,7,4.59,1.72,6.7,0.59
success,4,5.57,1.34,6.48,0.95
sums,1,4.72,1.65,6.89,0.32
surge,1,3.74,1.61,6.75,0.58
survivors,1,4.6,1.89,6.41,1.17
teamsters,1,3.86,2.01,6.5,0.93
term,5,5.41,1.44,6.82,0.54
textile,11,3.53,1.95,6.36,1.06
ton,1,5.53,1.66,6.86,0.46
toss,1,5.02,1.65,6.91,0.29
training,5,5.43,1.44,6.8,0.55
tribes,4,4.19,1.72,6.57,1.15
trip,3,5.59,1.44,6.93,0.25
tv,1,6.61,1.16,6.91,0.29
upturn,2,3.02,1.62,6.61,0.84
volumes,1,4.91,1.47,6.48,0.95
walk,4,6.41,0.96,6.89,0.49
walls,1,5.79,1.24,6.8,0.59
weeks,6,6.24,1.25,6.86,0.46
welfare,5,4.6,1.83,6.7,0.7
wheat,1,4.9,1.68,6.73,0.87
witnesses,7,5.22,1.61,6.39,1.04
words,7,6.29,1.08,6.84,0.48
world,2,5.53,1.4,6.73,0.73
